"product_id","product_name"
1,"Bluetooth Tracker"
2,"Coffee Maker"
3,"Monitor"
4,"Memory Card"
5,"Blender"
6,"Memory Card"
7,"Smart Light"
8,"Robot Vacuum"
9,"Router"
10,"Coffee Maker"
11,"Wireless Charger"
12,"Coffee Maker"
13,"Tablet"
14,"Electric Toothbrush"
15,"Microphone"
16,"Smart Light"
17,"Smart Light"
18,"Coffee Maker"
19,"Home Assistant"
20,"Smart TV"
21,"Smart Thermostat"
22,"Wireless Charger"
23,"Smart Plug"
24,"Security Camera"
25,"Portable AC"
26,"Monitor"
27,"Webcam"
28,"Hair Dryer"
29,"Blender"
30,"Drone"
31,"Smart Doorbell"
32,"Flash Drive"
33,"Smart Thermostat"
34,"Electric Scooter"
35,"Blender"
36,"Router"
37,"Air Purifier"
38,"Action Camera"
39,"Air Purifier"
40,"Webcam"
41,"Speaker"
42,"Camera"
43,"Memory Card"
44,"Smart Lock"
45,"Robot Vacuum"
46,"Coffee Maker"
47,"Memory Card"
48,"Drone"
49,"Printer"
50,"Charger"
51,"Monitor"
52,"Memory Card"
53,"Monitor"
54,"VR Headset"
55,"Instant Pot"
56,"Smart Thermostat"
57,"Air Fryer"
58,"Electric Scooter"
59,"Air Fryer"
60,"Portable AC"
61,"Power Bank"
62,"Fitness Tracker"
63,"Smartwatch"
64,"Portable AC"
65,"Bluetooth Tracker"
66,"Memory Card"
67,"Air Purifier"
68,"Gaming Console"
69,"Power Bank"
70,"Mouse"
71,"Flash Drive"
72,"Electric Toothbrush"
73,"Electric Toothbrush"
74,"Monitor"
75,"Hair Dryer"
76,"Wireless Charger"
77,"Smart TV"
78,"Headphones"
79,"Webcam"
80,"Bluetooth Tracker"
81,"Instant Pot"
82,"Smart Lock"
83,"Robot Vacuum"
84,"Keyboard"
85,"Smart TV"
86,"Hard Drive"
87,"Drone"
88,"Electric Scooter"
89,"Home Assistant"
90,"Gaming Console"
91,"Portable AC"
92,"Air Purifier"
93,"Electric Toothbrush"
94,"Drone"
95,"Instant Pot"
96,"Electric Toothbrush"
97,"Wireless Charger"
98,"Juicer"
99,"Smart TV"
100,"Smartwatch"
101,"Smart Thermostat"
102,"Air Fryer"
103,"Smart Lock"
104,"Bluetooth Tracker"
105,"Webcam"
106,"Action Camera"
107,"Laptop"
108,"Coffee Maker"
109,"Flash Drive"
110,"Webcam"
111,"Smart Bulb"
112,"Monitor"
113,"Smart Bulb"
114,"Smartphone"
115,"Laptop"
116,"Microphone"
117,"Memory Card"
118,"Smart Lock"
119,"Security Camera"
120,"Mouse"
121,"E-reader"
122,"Smartphone"
123,"Keyboard"
124,"Power Bank"
125,"Sous Vide"
126,"Sous Vide"
127,"Wireless Charger"
128,"Smart Bulb"
129,"Air Fryer"
130,"Instant Pot"
131,"VR Headset"
132,"Security Camera"
133,"Sous Vide"
134,"Tablet"
135,"Monitor"
136,"Fitness Tracker"
137,"Monitor"
138,"Projector"
139,"Headphones"
140,"Smart Doorbell"
141,"Charger"
142,"Webcam"
143,"VR Headset"
144,"Air Fryer"
145,"Blender"
146,"Smart Thermostat"
147,"Electric Scooter"
148,"Camera"
149,"Portable AC"
150,"Fitness Tracker"
151,"Smart Light"
152,"Memory Card"
153,"Security Camera"
154,"Mouse"
155,"Coffee Maker"
156,"Drone"
157,"Charger"
158,"Juicer"
159,"Security Camera"
160,"Home Assistant"
161,"Security Camera"
162,"Microphone"
163,"Action Camera"
164,"E-reader"
165,"Laptop"
166,"Home Assistant"
167,"Air Purifier"
168,"Security Camera"
169,"Webcam"
170,"Coffee Maker"
171,"Home Assistant"
172,"Instant Pot"
173,"Webcam"
174,"Charger"
175,"Smart Light"
176,"Headphones"
177,"Sous Vide"
178,"Coffee Maker"
179,"Webcam"
180,"Smartwatch"
181,"Air Fryer"
182,"Robot Vacuum"
183,"Monitor"
184,"Blender"
185,"Blender"
186,"Bluetooth Tracker"
187,"Security Camera"
188,"Microphone"
189,"Smart TV"
190,"Smartwatch"
191,"Camera"
192,"Speaker"
193,"Fitness Tracker"
194,"Blender"
195,"Fitness Tracker"
196,"Flash Drive"
197,"Robot Vacuum"
198,"Smart Lock"
199,"Smart Doorbell"
200,"Mouse"
201,"Electric Toothbrush"
202,"Hair Dryer"
203,"E-reader"
204,"Smart Doorbell"
205,"Projector"
206,"Keyboard"
207,"Blender"
208,"Smart Light"
209,"Drone"
210,"Headphones"
211,"Robot Vacuum"
212,"Webcam"
213,"Laptop"
214,"Microphone"
215,"Portable AC"
216,"Instant Pot"
217,"Action Camera"
218,"Hair Dryer"
219,"Speaker"
220,"Keyboard"
221,"Camera"
222,"VR Headset"
223,"Printer"
224,"Air Purifier"
225,"Action Camera"
226,"Tablet"
227,"VR Headset"
228,"Headphones"
229,"Smart Lock"
230,"Projector"
231,"Hard Drive"
232,"Smartwatch"
233,"Smartphone"
234,"Smart Bulb"
235,"Smart Light"
236,"Hard Drive"
237,"Smart Plug"
238,"Monitor"
239,"Hard Drive"
240,"Mouse"
241,"Speaker"
242,"Blender"
243,"Microphone"
244,"Instant Pot"
245,"Smartphone"
246,"Electric Scooter"
247,"Smart Plug"
248,"Camera"
249,"Robot Vacuum"
250,"Portable AC"
251,"Instant Pot"
252,"Fitness Tracker"
253,"Coffee Maker"
254,"Power Bank"
255,"Power Bank"
256,"Charger"
257,"Headphones"
258,"Tablet"
259,"Security Camera"
260,"Memory Card"
261,"Bluetooth Tracker"
262,"Robot Vacuum"
263,"Projector"
264,"Coffee Maker"
265,"Hair Dryer"
266,"Drone"
267,"Monitor"
268,"Drone"
269,"Electric Toothbrush"
270,"Flash Drive"
271,"Smart Doorbell"
272,"Fitness Tracker"
273,"Memory Card"
274,"Hard Drive"
275,"Hard Drive"
276,"Electric Scooter"
277,"Smart Doorbell"
278,"Smart Bulb"
279,"Smart Thermostat"
280,"Portable AC"
281,"Smart Lock"
282,"Portable AC"
283,"Smartwatch"
284,"Air Fryer"
285,"Mouse"
286,"Speaker"
287,"Hard Drive"
288,"Hair Dryer"
289,"Power Bank"
290,"Home Assistant"
291,"Bluetooth Tracker"
292,"Projector"
293,"Security Camera"
294,"Printer"
295,"Keyboard"
296,"Gaming Console"
297,"Smart Light"
298,"Router"
299,"Headphones"
300,"Air Purifier"
